Type,Sample_Name,Accession,Strain
LB_in_vitro,ERR2275081_1,ERR2275081,PA14
LB_in_vitro,ERR2275082_1,ERR2275082,PA14
LB_in_vitro,ERR2275085_1,ERR2275085,PA14
LB_in_vitro,ERR2275086_1,ERR2275086,PA14
USA_Sputum,HSP_EM43,SRR10267759,PAO1
USA_Sputum,HSP_EM37B,SRR10267760,PAO1
USA_Sputum,HSP_EM36,SRR10267761,PAO1
USA_Sputum,HSP_EM35B,SRR10267762,PAO1
USA_Sputum,HSP_EM33,SRR10267763,PAO1
USA_Sputum,HSP_EM30,SRR10267764,PAO1
USA_Sputum,HSP_EM24,SRR10267765,PAO1
USA_Sputum,HSP_EM13,SRR10267766,PAO1
Mouse,MW19-MCW-BL6-19_S4,SRR10267769,PA14
USA_Sputum,HSP_EM6,SRR10267770,PAO1
USA_Sputum,HSP_EM54,SRR10267771,PAO1
USA_Sputum,HSP_EM53B,SRR10267772,PAO1
USA_Sputum,HSP_EM49,SRR10267773,PAO1
USA_Sputum,HSP_EM48B,SRR10267774,PAO1
Mouse,Rn_PAO1_Invivo_Burn_2014_KHT_PAO1_Mouseburn_1_R1,SRR1047580,PAO1
Mouse,Rn_PAO1_Invivo_Chronic_2014_KHT_PAO1_Mousechronic_1_R1,SRR1047593,PAO1
Mouse,Rn_PAO1_Invivo_Chronic_2014_KHT_PAO1_Mousechronic_2_R1,SRR1048520,PAO1
LB_in_vitro,SRR1056046_1,SRR1056046,x
LB_in_vitro,SRR1056047_1,SRR1056047,x
LB_in_vitro,SRR1056048_1,SRR1056048,x
LB_in_vitro,SRR1056049_1,SRR1056049,x
LB_in_vitro,SRR1056051_1,SRR1056051,x
LB_in_vitro,SRR1056062_1,SRR1056062,x
LB_in_vitro,SRR1056063_1,SRR1056063,x
LB_in_vitro,SRR1056064_1,SRR1056064,x
LB_in_vitro,SRR1056065_1,SRR1056065,x
LB_in_vitro,SRR1056067_1,SRR1056067,x
LB_in_vitro,SRR1056070_1,SRR1056070,x
LB_in_vitro,SRR1056075_1,SRR1056075,x
LB_in_vitro,SRR1056084_1,SRR1056084,x
LB_in_vitro,SRR1056085_1,SRR1056085,x
LB_in_vitro,SRR1056090_1,SRR1056090,x
LB_in_vitro,SRR2174566,SRR2174566,PA14
LB_in_vitro,SRR2288354,SRR2288354,PA14
LB_in_vitro,SRR2288355,SRR2288355,PA14
LB_in_vitro,SRR2288356,SRR2288356,PA14
LB_in_vitro,SRR363800,SRR363800,PA14
LB_in_vitro,SRR363801,SRR363801,PA14
LB_in_vitro,SRR363802,SRR363802,PA14
LB_in_vitro,SRR363803,SRR363803,PA14
LB_in_vitro,SRR363804,SRR363804,PA14
LB_in_vitro,SRR363805,SRR363805,PA14
LB_in_vitro,SRR363806,SRR363806,PA14
LB_in_vitro,SRR363807,SRR363807,PA14
LB_in_vitro,SRR3722267_1,SRR3722267,x
LB_in_vitro,SRR3722275_1,SRR3722275,x
LB_in_vitro,SRR4279869_1,SRR4279869,PAO1
Mouse,SRR4279873_1,SRR4279873,PAO1
Mouse,SRR4279874_1,SRR4279874,PAO1
Mouse,SRR4279875_1,SRR4279875,PAO1
SCFM2_in_vitro,PAscfm3_1_S4_R1_001,SRR6833326,PA14
SCFM2_in_vitro,PAscfm3_2_S6_R1_001,SRR6833329,PA14
SCFM2_in_vitro,Rn_PAO1_Invitro_SCFM2_2017_JLD_SCFM2staticchamber_2_R1,SRR6833330,PAO1
SCFM2_in_vitro,Rn_PAO1_Invitro_SCFM2_2017_JLD_SCFM2staticchamber_1_R1,SRR6833331,PAO1
SCFM2_in_vitro,SAPAsp3_2_S9_R1_001,SRR6833335,PA14
SCFM2_in_vitro,SAPAsp7_1_joined_R1_001,SRR6833336,PA14
SCFM2_in_vitro,Pascfm7_2_S8_R1_001,SRR6833338,PA14
Denmark_Sputum,Human_Sputum_C,SRR6833344,PAO1
Denmark_Sputum,Human_Sputum_B,SRR6833345,PAO1
Denmark_Sputum,Human_Sputum_A,SRR6833346,PAO1
Denmark_Sputum,Human_Sputum_D,SRR6833347,PAO1
Denmark_Sputum,Human_Sputum_G,SRR6833349,PAO1
Denmark_Sputum,Human_Sputum_F,SRR6833350,PAO1
Denmark_Sputum,Human_Sputum_E,SRR6833351,PAO1
LB_in_vitro,SRR7938980_1,SRR7938980,PAO1
LB_in_vitro,SRR7938981_1,SRR7938981,PAO1
