Protein	Description	PSM_G1	Uniq_Pept_G1	S1	S2	S3	S4	S5	S6	S7	S8	P2	PSM_G2	Uniq_Pept_G2	S9	S10	S11	S12	S13	S14	S15	S16	P4	PSM_G3	Uniq_Pept_G3	S17	S18	S19	S20	S21	S22	S23	S24	P6	Total_PSM	Gene Length	Amino_Acid_Length	SAF_G1	SAF_G2	SAF_G3	NSAF_G1	NSAF_G2	NSAF_G3	Avg_TT4	Avg_TS4	Avg_AT4	Avg_AS1	Avg_SASA1	Avg_ASA1	Avg_SAS1	Avg_POOLED
PA5570	gi|15600763| 50S ribosomal protein L34	63.0	1.0	1.4836831940433282	1.409476531484694	1.4231661434618241	1.5650612270620903	1.4253599870555487	1.4219990788328079	1.3295410310172522	1.2815482043342026	1.386453569819789	168.0	1.0	4.288366267813568	3.7850703084552864	3.304528745676335	3.3008020753086034	4.1024178020196365	4.251670306480029	3.64165885660717	3.753807018492162	3.9675567592339753	78.0	1.0	1.9251862719161654	1.7677205228091046	1.8800846062822	1.8162591088123412	1.7705918733937145	1.8123566213104398	1.6461075795122182	1.6521840144664086	1.6890326960593725	309.0	135	45.0	1.4	3.7333333333333334	1.7333333333333334	0.0018041803930642678	0.00793533640374947	0.002226963327744533	1.4387752896632822	1.4708067643168157	2.2998185010550074	3.4634670431467414	3.9985823217022785	2.482237937739144	1.8223118628294186	1.7035494050963556
PA5569	gi|15600762| ribonuclease P protein component	11.0	3.0	0.07570190424891603	0.07683350781219736	0.08172437604911359	0.08051961457216471	0.09000422042403106	0.07767817624158217	0.057485865988226276	0.06783533143681858	0.07046711337708433	2.0	1.0	0.018006163590392987	0.016508255697632708	0.011812470335367671	0.01293988246839627	0.019813192076752417	0.01917277001982235	0.01213428107190467	0.018182746801188865	0.019177586896971487	25.0	6.0	0.19513170229010168	0.17071588875562158	0.19027436020534744	0.19675167597414212	0.2108738505133772	0.21716853666121766	0.1996807650137878	0.1965201646837832	0.19996172987432517	38.0	408	136.0	0.08088235294117647	0.014705882352941176	0.18382352941176472	0.00010423311094383901	3.125789024586189e-05	0.00023617399544802032	0.07808659603674233	0.08273400374592599	0.047775787005145946	0.013753536167132216	0.01704008105615981	0.12801011261563736	0.19929996223095559	0.20445648878626288
PA5568	gi|15600761| conserved hypothetical protein	129.0	12.0	0.2489097396688852	0.25274529492794795	0.2617794455087628	0.2504335835503313	0.24057377147351203	0.25597650117288523	0.20048402917449573	0.19902200899438685	0.22342351187492784	5.0	3.0	0.015439487587628748	0.01143743589266429	0.016362635112372584	0.010762798788566463	0.016170552049151708	0.013941513570264867	0.012615872829975793	0.015296784507995242	0.012555344807436784	64.0	12.0	0.10034786051466432	0.08768430028510049	0.10784122688475294	0.10246988506699051	0.10690119174507878	0.11538355910047059	0.11078534708185636	0.10758274424393463	0.1094979259478323	198.0	1737	579.0	0.22279792746113988	0.008635578583765112	0.11053540587219343	0.0002871197516719597	1.8355237795497482e-05	0.00014201440113157643	0.25447816003519863	0.24899461873224285	0.13831517525217044	0.012854289931201112	0.014242646149797455	0.06777631510258668	0.10573743456560741	0.11125055014208718
PA5567	gi|15600760| conserved hypothetical protein	2.0	2.0	0.004244203158737583	0.0042023681253672215	0.00400031350868538	0.003962375488790731	0.004288156835670573	0.004386594677630907	0.004431582742522283	0.004353038551668923	0.0044204941586493945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	4.0	0.018146561337270592	0.017613484527158472	0.019419793847356707	0.020563665127648168	0.020943471056110254	0.024571936215136342	0.021296479168687075	0.022424468502875376	0.019536637759417018	11.0	1368	456.0	0.0043859649122807015	0.0	0.019736842105263157	5.652194213860488e-06	0.0	2.5357628984945336e-05	0.004148961597596729	0.00421237566736407	0.002928207098063735	0.0	0.0	0.01192001528814302	0.020308976677038376	0.0227642946288996
PA5565	gi|15600758| glucose-inhibited division protein A	28.0	7.0	0.039475917481654244	0.04640517348579796	0.046580891740261504	0.0468706213383372	0.04976822935442012	0.046420156477307906	0.0356337906097971	0.03945821468525795	0.042603040274786994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	9.0	0.05581622638447331	0.05121319179070436	0.060303466043838495	0.05868407445340049	0.05731622325883852	0.06126497290383481	0.05593099817045229	0.05348189021814184	0.05480481730096984	63.0	1893	631.0	0.044374009508716325	0.0	0.0554675118858954	5.718479851233813e-05	0.0	7.126391241410946e-05	0.04415399423590457	0.047686335723355074	0.025030668431685017	0.0	0.0	0.03567647272505922	0.058767921252025825	0.05689262043080965
PA5564	gi|15600757| glucose inhibited division protein B	20.0	6.0	0.07885145155763527	0.08055649642561688	0.08290056723536035	0.08224184366446259	0.08305575970538	0.08708486141701777	0.08372558923611656	0.08445833547978845	0.08752636081077182	5.0	2.0	0.022102044117711814	0.02151310698760841	0.02281669956224359	0.02442860784788893	0.024230349063116472	0.021710264233053174	0.025303140015448932	0.0221838694188745	0.02142094106617025	19.0	5.0	0.0806063887196153	0.08814785026980332	0.09470487885636499	0.09669530032797553	0.10213977406549339	0.09892187855409976	0.0844994069594334	0.0871501893236669	0.08600581743403041	44.0	645	215.0	0.09302325581395349	0.023255813953488372	0.08837209302325581	0.00011987909588466896	4.943108224926996e-05	0.00011353927520701107	0.08076950507287083	0.08412748826228678	0.06342865627787227	0.02291947146591364	0.02374791777053953	0.0636460361360977	0.09784665108327796	0.09019049161240002
PA5563	gi|15600756| chromosome partitioning protein Soj	23.0	6.0	0.09159971165877988	0.09776211041274248	0.09559514010355363	0.09713848933857336	0.09247842728771215	0.09503424777343206	0.09112866458664731	0.090823899791094	0.08484585260838451	36.0	1.0	0.13584664169587835	0.1367857806839564	0.140750998854901	0.1328971563595879	0.12338693814690004	0.12221480474983741	0.10950687428979615	0.10351299974787709	0.1386104662694439	17.0	4.0	0.054022290864928636	0.0460399071792777	0.05567408889670511	0.05608263787289133	0.06081826708923871	0.0746886829585272	0.07192224341294091	0.07063571917024872	0.06656801668590256	76.0	789	263.0	0.08745247148288973	0.13688212927756654	0.06463878326996197	0.00011270002455317262	0.0002909479670033076	8.304703839936471e-05	0.09498565405835867	0.09488372146657252	0.10593306869120656	0.1368113119661484	0.11836953906217786	0.0678583992640278	0.05752499795294505	0.07241554851390561
PA5562	gi|15600755| chromosome partitioning protein Spo0J	97.0	18.0	0.3391219644818967	0.36483261105613646	0.35223631563697816	0.3467277258776672	0.3590860209807574	0.36957039994760166	0.3173727711714023	0.3323616054118782	0.3253821710655148	24.0	3.0	0.07827875694908114	0.07174239674029699	0.07598472990648786	0.07630900217148576	0.07009399090114422	0.07027435357108616	0.06001748382608673	0.06506532294971018	0.07183265608558775	86.0	16.0	0.2568480443202135	0.24355275998820525	0.281509772697619	0.28102787734160806	0.30267765321139645	0.3287087024388295	0.3085470130256526	0.2913859000411071	0.2896830836896579	207.0	873	291.0	0.3333333333333333	0.08247422680412371	0.29553264604810997	0.00042956676025339706	0.00017530198240978213	0.000379696364365642	0.35206363039167043	0.35846138226867547	0.24267104451078722	0.0746787096060902	0.06679527609943904	0.18848870908604298	0.28840510108354117	0.3095472051685297
PA5560	gi|15600753| ATP synthase A chain	93.0	4.0	0.35739510673340147	0.33699609622501164	0.3334304075747891	0.3474651840294534	0.3291580665749897	0.32909687538128934	0.2793243037433001	0.2750866329357409	0.29824662760255666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	4.0	0.26787995829072664	0.2221158970125848	0.2468938951629487	0.2461321978124359	0.25848456382145535	0.31421955244968275	0.3073123734700955	0.2910206270051866	0.2736809513029554	175.0	870	290.0	0.32068965517241377	0.0	0.2827586206896552	0.0004132728486575786	0.0	0.00036328446858432034	0.34260720351106744	0.33524004199524415	0.18480364555968035	0.0	0.0	0.1633319517677705	0.2505035522656133	0.3041841843083216
PA5559	gi|15600752| atp synthase C chain	62.0	4.0	0.6524405617947967	0.7151401183860187	0.7809873811810308	0.6635688935349882	0.66223570618	0.6305678232232153	0.5466033179490758	0.5510288263288136	0.6357805318119055	34.0	1.0	0.4873749200982633	0.4042094888657407	0.44024773940011835	0.5238369179170376	0.42423681423288795	0.4184190421523845	0.36556697536864824	0.4495339010743944	0.43465441680070105	61.0	4.0	0.7202970576011449	0.6870896779379788	0.6301434385135767	0.6852712772803341	0.6960680957657763	0.6430928631176255	0.6646918291072742	0.7970533385694114	0.7565338039947749	157.0	258	86.0	0.7209302325581395	0.3953488372093023	0.7093023255813954	0.0009290629931061843	0.0008403283982375893	0.000911302077319431	0.7161893537872821	0.6521241409794011	0.5283356881253842	0.4560980487276322	0.4027409439179735	0.6189735455378393	0.6704942705198956	0.701612676931437
