id,name,formula,charge,compartment,uptake,min_uptake,lowerbound,max_uptake,upperbound
cpd00067_e0,H+_e0,H,1,,0,-1000,-1000,0,0
cpd00222_e0,GLCN_e0,C6H11O7,-1,,0,-461.022,-1000,0,0
cpd00480_e0,2-Dehydro-D-gluconate_e0,C6H9O7,-1,,0,-442.904,-1000,0,0
cpd00027_e0,D-Glucose_e0,C6H12O6,0,,100,0,-100,100,100
cpd00170_e0,Gluconolactone_e0,C6H10O6,0,,0,-487.456,-1000,0,0
cpd00870_e0,gamma-butyrobetaine_e0,C7H15NO2,0,,0,0,-1000,0,0
cpd00098_e0,Choline_e0,C5H14NO,1,,0,0,-1000,0,0
cpd00266_e0,Carnitine_e0,C7H15NO3,0,,0,0,-1000,0,0
cpd07061_e0,Stachydrine_e0,C7H13NO2,0,,0,0,-1000,0,0
cpd00264_e0,Spermidine_e0,C7H22N3,3,,0,0,-1000,0,0
cpd11574_e0,Molybdate_e0,H2MoO4,0,,0,0,-1000,0,0
cpd00118_e0,Putrescine_e0,C4H14N2,2,,0,-100,-1000,0,0
cpd00106_e0,Fumarate_e0,C4H2O4,-2,,0,-879.62,-1000,0,0
cpd00386_e0,D-Malate_e0,C4H4O5,-2,,0,0,-1000,0,0
cpd00051_e0,L-Arginine_e0,C6H15N4O2,1,,100,0,-100,100,100
cpd00107_e0,L-Leucine_e0,C6H13NO2,0,,38.4289,-100,-100,100,100
cpd00156_e0,L-Valine_e0,C5H11NO2,0,,21.3309,-100,-100,100,100
cpd00053_e0,L-Glutamine_e0,C5H10N2O3,0,,0,0,-1000,0,0
cpd00226_e0,HYXN_e0,C5H4N4O,0,,0,-493.563,-1000,0,0
cpd11596_e0,butanesulfonate_e0,C4H9O3S,-1,,0,0,-1000,0,0
cpd00064_e0,Ornithine_e0,C5H13N2O2,1,,0,-100,-1000,0,0
cpd00119_e0,L-Histidine_e0,C6H9N3O2,0,,6.69482,-100,-100,100,100
cpd03847_e0,Myristic acid_e0,C14H27O2,-1,,0,0,-1000,0,0
cpd00214_e0,Palmitate_e0,C16H31O2,-1,,0,0,-1000,0,0
cpd04099_e0,Phosphonate_e0,H2O3P,-1,,0,0,-1000,0,0
cpd00058_e0,Cu2+_e0,Cu,2,,0,0,-1000,0,0
cpd04097_e0,Pb_e0,Pb,2,,0,0,-1000,0,0
cpd00531_e0,Hg2+_e0,Hg,2,,0,0,-1000,0,0
cpd00205_e0,K+_e0,K,1,,0,0,-100,0,100
cpd00129_e0,L-Proline_e0,C5H9NO2,0,,100,-100,-100,100,100
cpd00540_e0,BET_e0,C5H11NO2,0,,0,0,-1000,0,0
cpd00247_e0,Orotate_e0,C5H3N2O4,-1,,0,-622.858,-1000,0,0
cpd10515_e0,Fe2+_e0,Fe,0,,0.0000826908,0.00000826908,-100,0.0000344192,100
cpd00048_e0,Sulfate_e0,O4S,-2,,3.10273,0,-100,9.3539,100
cpd00281_e0,GABA_e0,C4H9NO2,0,,0,-883.648,-1000,0,0
cpd00308_e0,Malonate_e0,C3H2O4,-2,,0,0,-1000,0,0
cpd00971_e0,Na+_e0,Na,1,,0,0,-100,0,100
cpd00268_e0,H2S2O3_e0,HO3S2,-1,,0,0,-1000,0,0
cpd00084_e0,L-Cysteine_e0,C3H7NO2S,0,,0,0,-1000,0,0
cpd00381_e0,L-Cystine_e0,C6H12N2O4S2,0,,0,0,-100,0,100
cpd00305_e0,Thiamin_e0,C12H17N4OS,1,,0,0,-1000,0,0
cpd00309_e0,XAN_e0,C5H4N4O2,0,,0,-472.199,-1000,0,0
cpd01092_e0,Allantoin_e0,C4H6N4O3,0,,0,-447.34,-1000,0,0
cpd00009_e0,Phosphate_e0,HO4P,-2,,-39.5987,-39.5987,-100,100,100
cpd00307_e0,Cytosine_e0,C4H5N3O,0,,0,0,-1000,0,0
cpd00182_e0,Adenosine_e0,C10H13N5O4,0,,0,-400.719,-1000,0,0
cpd00367_e0,Cytidine_e0,C9H13N3O5,0,,0,-484.029,-1000,0,0
cpd00438_e0,Deoxyadenosine_e0,C10H13N5O3,0,,0,-403.099,-1000,0,0
cpd00654_e0,Deoxycytidine_e0,C9H13N3O4,0,,0,-525.472,-1000,0,0
cpd00246_e0,Inosine_e0,C10H12N4O5,0,,0,-421.65,-1000,0,0
cpd00184_e0,Thymidine_e0,C10H14N2O5,0,,0,-460.156,-1000,0,0
cpd00249_e0,Uridine_e0,C9H12N2O6,0,,0,-465.912,-1000,0,0
cpd00277_e0,Deoxyguanosine_e0,C10H13N5O4,0,,0,0,-1000,0,0
cpd03279_e0,Deoxyinosine_e0,C10H12N4O4,0,,0,0,-1000,0,0
cpd00412_e0,Deoxyuridine_e0,C9H12N2O5,0,,0,0,-1000,0,0
cpd00065_e0,L-Tryptophan_e0,C11H12N2O2,0,,4.59323,-100,-100,100,100
cpd00380_e0,Itaconate_e0,C5H4O4,-2,,0,-852.695,-1000,0,0
cpd01502_e0,Citraconate_e0,C5H4O4,-2,,0,0,-1000,0,0
cpd00130_e0,L-Malate_e0,C4H4O5,-2,,0,-716.485,-1000,0,0
cpd00036_e0,Succinate_e0,C4H4O4,-2,,0,-913.95,-1000,0,0
cpd00322_e0,L-Isoleucine_e0,C6H13NO2,0,,82.3794,-100,-100,100,100
cpd00035_e0,L-Alanine_e0,C3H7NO2,0,,49.2135,-100,-100,100,100
cpd00161_e0,L-Threonine_e0,C4H9NO3,0,,100,-100,-100,100,100
cpd00034_e0,Zn2+_e0,Zn,2,,0,0,-1000,0,0
cpd00041_e0,L-Aspartate_e0,C4H6NO4,-1,,96.306,-100,-100,100,100
cpd00023_e0,L-Glutamate_e0,C5H8NO4,-1,,100,-100,-100,100,100
cpd00092_e0,Uracil_e0,C4H4N2O2,0,,0,0,-1000,0,0
cpd11608_e0,Peptide_e0,C4H6N2O3R2,0,,0,0,-1000,0,0
cpd00105_e0,D-Ribose_e0,C5H10O5,0,,0,-621.658,-1000,0,0
cpd01242_e0,Thyminose_e0,C5H10O4,0,,0,0,-1000,0,0
cpd00154_e0,Xylose_e0,C5H10O5,0,,0,0,-1000,0,0
cpd00224_e0,L-Arabinose_e0,C5H10O5,0,,0,0,-1000,0,0
cpd00550_e0,D-Serine_e0,C3H7NO3,0,,0,0,-1000,0,0
cpd00054_e0,L-Serine_e0,C3H7NO3,0,,100,-100,-100,100,100
cpd00059_e0,L-Ascorbate_e0,C6H7O6,-1,,0,0,-1000,0,0
cpd00209_e0,Nitrate_e0,NO3,-1,,100,0,-100,100,100
cpd00314_e0,D-Mannitol_e0,C6H14O6,0,,0,0,-1000,0,0
cpd00138_e0,D-Mannose_e0,C6H12O6,0,,0,0,-1000,0,0
cpd01262_e0,Amylotriose_e0,C18H32O16,0,,0,0,-1000,0,0
cpd00588_e0,Sorbitol_e0,C6H14O6,0,,0,0,-1000,0,0
cpd11576_e0,L-methionine R-oxide_e0,C5H11NO3S,0,,0,0,-1000,0,0
cpd01914_e0,L-Methionine S-oxide_e0,C5H11NO3S,0,,0,0,-1000,0,0
cpd00030_e0,Mn2+_e0,Mn,2,,0,0,-1000,0,0
cpd00136_e0,4-Hydroxybenzoate_e0,C7H5O3,-1,,0,-612.458,-1000,0,0
cpd01012_e0,Cd2+_e0,Cd,2,,0,0,-1000,0,0
cpd00149_e0,Co2+_e0,Co,2,,0,0,-1000,0,0
cpd03424_e0,Vitamin B12_e0,C61H86CoN13O14PR,6,,0,0,-1000,0,0
cpd00039_e0,L-Lysine_e0,C6H15N2O2,1,,8.84957,-100,-100,100,100
cpd01329_e0,Maltohexaose_e0,C36H62O31,0,,0,0,-1000,0,0
cpd00080_e0,Glycerol-3-phosphate_e0,C3H7O6P,-2,,0,-137.702,-1000,0,0
cpd11579_e0,ethanesulfonate_e0,C2H5O3S,-1,,0,0,-1000,0,0
cpd11578_e0,hexanesulfonate_e0,C6H13O3S,-1,,0,0,-1000,0,0
cpd08023_e0,methanesulfonate_e0,CH3O3S,-1,,0,0,-1000,0,0
cpd11575_e0,MOPS_e0,C7H14NO4S,-1,,0,0,-100,0,100
cpd09878_e0,Sulfoacetate_e0,C2H2O5S,-2,,0,0,-1000,0,0
cpd00082_e0,D-Fructose_e0,C6H12O6,0,,0,-518.049,-1000,0,0
cpd00122_e0,N-Acetyl-D-glucosamine_e0,C8H15NO6,0,,0,-549.209,-1000,0,0
cpd00075_e0,Nitrite_e0,NO2,-1,,0,-100,-1000,0,0
cpd00033_e0,Glycine_e0,C2H5NO2,0,,-3.99876,-100,-100,100,100
cpd00210_e0,Taurine_e0,C2H7NO3S,0,,0,0,-1000,0,0
cpd00489_e0,4-Hydroxyphenylacetate_e0,C8H7O3,0,,0,0,-1000,0,0
cpd00666_e0,Tartrate_e0,C4H4O6,-2,,0,0,-1000,0,0
cpd03726_e0,Fe-enterochlin_e0,C30H27FeN3O15,0,,0,0,-1000,0,0
cpd00244_e0,Ni2+_e0,Ni,2,,0,0,-1000,0,0
cpd11593_e0,ala-L-asp-L_e0,C7H11N2O5,-1,,0,0,-1000,0,0
cpd11587_e0,Ala-Gln_e0,C8H15N3O4,0,,0,0,-1000,0,0
cpd11586_e0,ala-L-glu-L_e0,C8H13N2O5,-1,,0,0,-1000,0,0
cpd11585_e0,L-alanylglycine_e0,C5H10N2O3,0,,0,0,-1000,0,0
cpd11584_e0,Ala-His_e0,C9H14N4O3,0,,0,0,-1000,0,0
cpd11583_e0,Ala-Leu_e0,C9H18N2O3,0,,0,0,-1000,0,0
cpd11582_e0,ala-L-Thr-L_e0,C7H14N2O4,0,,0,0,-1000,0,0
