compounds	name	formula	minflux	maxflux	concentration
cpd17265	MOPS	C7H15NO4S	-100	0	0.01
cpd00550	D-Serine	C3H7NO3	-100	100	0.001446
cpd00023	L-Glutamate	C5H8NO4	-100	100	0.001549
cpd00129	L-Proline	C5H8NO2	-100	100	0.001661
cpd00033	Glycine	C2H5NO2	-100	100	0.001203
cpd00035	L-Alanine	C3H7NO2	-100	100	0.00178
cpd00156	L-Valine	C5H11NO2	-100	100	0.001117
cpd00060	L-Methionine	C5H11NO2S	-100	100	0.000633
cpd00322	L-Isoleucine	C6H13NO2	-100	100	0.001121
cpd00107	L-Leucine	C6H13NO2	-100	100	0.001609
cpd00404	D-Ornithine	C5H13N2O2	-100	100	0.000676
cpd00039	L-Lysine	C6H15N2O2	-100	100	0.002128
cpd00051	L-Arginine	C6H15N4O2	-100	100	0.000306
cpd00065	L-Tryptophan	C11H12N2O2	-100	100	0.000013
cpd00320	D-Aspartate	C4H6NO4	-100	100	0.000827
cpd00069	L-Tyrosine	C9H11NO3	-100	100	0.000802
cpd00161	L-Threonine	C4H9NO3	-100	100	0.001072
cpd00084	L-Cysteine	C3H7NO2S	-100	100	0.00016
cpd00066	L-Phenylalanine	C9H11NO2	-100	100	0.00053
cpd00119	L-Histidine	C6H9N3O2	-100	100	0.000519
cpd00027	D-Glucose	C6H12O6	-100	100	0.003
cpd00159	L-Lactate	C3H5O3	-100	100	0.0093
cpd00063	Ca2+	Ca	-100	100	0.00071
cpd00254	Mg2+	Mg	-100	100	0.00024
