compounds	name	formula	minflux	maxflux	concentration
EX_cpd11575_LPAREN_e_RPAREN_	MOPS	C7H15NO4S	-100	0	0.01
EX_cpd00550_LPAREN_e_RPAREN_	D-Serine	C3H7NO3	-100	100	0.001446
EX_cpd00023_LPAREN_e_RPAREN_	L-Glutamate	C5H8NO4	-100	100	0.001549
EX_cpd00129_LPAREN_e_RPAREN_	L-Proline	C5H8NO2	-100	100	0.001661
EX_cpd00033_LPAREN_e_RPAREN_	Glycine	C2H5NO2	-100	100	0.001203
EX_cpd00035_LPAREN_e_RPAREN_	L-Alanine	C3H7NO2	-100	100	0.00178
EX_cpd00156_LPAREN_e_RPAREN_	L-Valine	C5H11NO2	-100	100	0.001117
EX_cpd00060_LPAREN_e_RPAREN_	L-Methionine	C5H11NO2S	-100	100	0.000633
EX_cpd00322_LPAREN_e_RPAREN_	L-Isoleucine	C6H13NO2	-100	100	0.001121
EX_cpd00107_LPAREN_e_RPAREN_	L-Leucine	C6H13NO2	-100	100	0.001609
EX_cpd00064_LPAREN_e_RPAREN_	D-Ornithine	C5H13N2O2	-100	100	0.000676
EX_cpd00039_LPAREN_e_RPAREN_	L-Lysine	C6H15N2O2	-100	100	0.002128
EX_cpd00051_LPAREN_e_RPAREN_	L-Arginine	C6H15N4O2	-100	100	0.000306
EX_cpd00065_LPAREN_e_RPAREN_	L-Tryptophan	C11H12N2O2	-100	100	0.000013
EX_cpd00041_LPAREN_e_RPAREN_	L-Aspartate	C4H6NO4	-100	100	0.000827
EX_cpd00069_LPAREN_e_RPAREN_	L-Tyrosine	C9H11NO3	-100	100	0.000802
EX_cpd00161_LPAREN_e_RPAREN_	L-Threonine	C4H9NO3	-100	100	0.001072
EX_cpd00084_LPAREN_e_RPAREN_	L-Cysteine	C3H7NO2S	-100	100	0.00016
EX_cpd00066_LPAREN_e_RPAREN_	L-Phenylalanine	C9H11NO2	-100	100	0.00053
EX_cpd00119_LPAREN_e_RPAREN_	L-Histidine	C6H9N3O2	-100	100	0.000519
EX_cpd00027_LPAREN_e_RPAREN_	D-Glucose	C6H12O6	-100	100	0.003
EX_cpd00159_LPAREN_e_RPAREN_	L-Lactate	C3H5O3	-100	100	0.0093
EX_cpd00063_LPAREN_e_RPAREN_	Ca2+	Ca	-100	100	0.00071
EX_cpd00254_LPAREN_e_RPAREN_	Mg2+	Mg	-100	100	0.00024
