Accession,AS1_1,AS1_2,AS1_3,AS1_avg,ASA1_1,ASA1_2,ASA1_3,ASA1_avg,AT4_1,AT4_2,AT4_3,AT4_avg,Pooled_1,Pooled_2,Pooled_3,Pooled_avg,Pooled_second_1,Pooled_second_2,Pooled_second_3,Pooled_second_avg,Pooled_sample_1,Pooled_sample_2,Pooled_sample_3,Pooled_sample_avg,SAS1_1,SAS1_2,SAS1_3,SAS1_avg,SASA1_1,SASA1_2,SASA1_3,SASA1_avg,TS4_1,TS4_2,TS4_3,TS4_avg,TT4_1,TT4_2,TT4_3,TT4_avg,Tn-Seq_Biomass_Flux
PA5015,3236.4,2964.3,3245.9,3148.86666666667,2968.7,3545.2,3895.7,3469.86666666667,4485.2,3856.3,2405.3,3582.26666666667,4366.4,4621.2,2757.7,3915.1,2886.0,3119.2,3216.5,3073.9,3230.2,3742.9,3240.8,3404.63333333333,3226.5,3344.5,3370.2,3313.73333333333,2974.0,1397.4,3155.2,2508.86666666667,4107.3,477.1,4161.6,2915.33333333333,3843.9,3840.7,3759.9,3814.83333333333,44.412831289428325
PA4756,1125.6,1033.5,1183.6,1114.23333333333,1296.1,1651.9,1555.4,1501.13333333333,1211.2,1173.6,890.2,1091.66666666667,1538.9,1302.0,957.3,1266.06666666667,1050.4,1497.8,1782.6,1443.6,1730.8,1705.1,1703.4,1713.1,1833.8,1729.1,1782.2,1781.7,1252.8,1583.3,1154.2,1330.1,1320.1,189.0,1423.2,977.433333333333,1327.6,1373.4,1251.4,1317.46666666667,0.0
PA0782,4154.9,3818.3,4029.3,4000.83333333333,3467.3,2437.7,2158.2,2687.73333333333,2535.0,1441.9,2909.2,2295.36666666667,1908.3,1881.5,3250.2,2346.66666666667,3220.5,2199.1,2489.3,2636.3,2158.9,3002.3,2732.8,2631.33333333333,2442.2,2601.7,2725.1,2589.66666666667,3902.9,4882.3,3213.8,3999.66666666667,1417.7,238.0,1333.2,996.3,1604.0,1604.3,1411.8,1540.03333333333,7.348542099917085
PA1787,2363.5,2290.0,2146.9,2266.8,2168.0,2389.9,2265.5,2274.46666666667,1551.4,2383.8,2453.0,2129.4,2257.1,2431.2,2528.1,2405.46666666667,2481.2,2529.8,2481.1,2497.36666666667,2667.6,2537.7,2656.1,2620.46666666667,2334.7,2409.0,2019.3,2254.33333333333,2218.7,1176.0,2110.6,1835.1,2841.0,501.4,2978.1,2106.83333333333,2954.6,2802.7,3034.7,2930.66666666667,28.121117765683202
PA3014,2034.5,2188.7,2271.6,2164.93333333333,2344.1,2095.2,2244.9,2228.06666666667,2242.0,2181.5,1810.7,2078.06666666667,2813.8,2722.9,1834.2,2456.96666666667,1901.0,2103.9,1990.7,1998.53333333333,2193.7,1945.1,2181.4,2106.73333333333,2276.8,2017.0,1953.7,2082.5,1960.1,958.5,2578.6,1832.4,2472.7,390.7,2754.0,1872.46666666667,2172.2,2531.4,2211.6,2305.06666666667,0.0
PA1156,3074.9,2637.3,2554.6,2755.6,2861.6,2196.7,2227.9,2428.73333333333,3039.0,3301.2,2428.1,2922.76666666667,3977.7,3869.1,2913.2,3586.66666666667,3091.7,2158.4,2206.6,2485.56666666667,1781.5,2225.0,2063.7,2023.4,2283.5,2263.6,2480.9,2342.66666666667,3162.2,2714.3,2828.5,2901.66666666667,4627.0,575.6,4260.0,3154.2,4506.3,4128.3,4688.8,4441.13333333333,1.0998091360316509
PA1770,3237.8,3447.0,3272.6,3319.13333333333,3733.5,1951.2,2083.6,2589.43333333333,2727.9,2303.5,3082.4,2704.6,2137.2,2292.3,3020.8,2483.43333333333,3122.8,1931.0,2190.9,2414.9,1953.5,2148.3,2212.1,2104.63333333333,2216.0,2310.3,2040.5,2188.93333333333,3526.8,681.6,4346.4,2851.6,2117.6,200.6,2015.7,1444.63333333333,1970.0,1918.6,2072.8,1987.13333333333,0.0
PA2624,1288.8,1354.8,1216.3,1286.63333333333,1520.5,1592.7,973.4,1362.2,2127.8,2658.3,1439.9,2075.33333333333,2161.8,2446.3,1342.7,1983.6,1293.6,2030.0,1731.7,1685.1,1594.1,1735.1,1542.1,1623.76666666667,1219.6,1292.9,1389.2,1300.56666666667,1470.1,1462.6,1462.0,1464.9,2413.8,301.0,2503.4,1739.4,2604.1,2545.9,2462.6,2537.53333333333,56.24223553136641
PA5554,1665.9,1663.2,1749.7,1692.93333333333,1460.4,1738.3,1562.8,1587.16666666667,1579.8,1737.4,1666.4,1661.2,2014.0,2105.6,1687.1,1935.56666666667,1772.7,1822.3,1618.6,1737.86666666667,1516.3,1644.8,1644.1,1601.73333333333,1604.2,1665.9,1600.5,1623.53333333333,1620.2,3448.7,1433.0,2167.3,2330.4,317.8,2264.7,1637.63333333333,2670.7,2342.1,2401.8,2471.53333333333,369.8715475466668
PA3987,761.4,854.5,902.5,839.466666666667,844.1,1547.2,1386.1,1259.13333333333,951.2,965.6,822.6,913.133333333333,977.9,990.0,823.5,930.466666666667,818.0,1347.4,1348.4,1171.26666666667,1336.5,1376.0,1394.4,1368.96666666667,1563.3,1522.4,1569.7,1551.8,835.6,563.5,835.3,744.8,1001.0,120.2,1047.7,722.966666666667,1038.1,966.3,1095.4,1033.26666666667,0.0
PA3763,1610.5,1383.1,1781.9,1591.83333333333,1395.1,1230.6,1215.2,1280.3,1781.1,1996.7,1487.1,1754.96666666667,1760.7,2212.6,1484.5,1819.26666666667,1481.4,996.2,1017.4,1165.0,981.6,1057.7,989.8,1009.7,1177.7,1053.8,1158.8,1130.1,1139.1,2222.9,1340.8,1567.6,2080.8,296.2,2220.1,1532.36666666667,1986.3,1911.1,2076.1,1991.16666666667,4.973707812491742
PA4226,431.8,430.6,399.3,420.566666666667,248.8,751.0,718.0,572.6,503.1,438.0,360.4,433.833333333333,449.8,394.1,492.0,445.3,475.5,688.9,654.8,606.4,703.0,695.7,670.3,689.666666666667,772.5,785.0,1030.1,862.533333333333,411.5,717.3,278.7,469.166666666667,420.5,104.9,407.4,310.933333333333,455.1,432.3,446.0,444.466666666667,0.0
PA0519,2134.3,1794.8,2294.9,2074.66666666667,1405.5,2005.1,1696.7,1702.43333333333,1598.8,870.8,1495.6,1321.73333333333,1036.5,917.2,1602.4,1185.36666666667,1564.3,2613.0,2437.7,2205.0,2177.9,3824.8,3400.0,3134.23333333333,2050.7,2076.1,2148.3,2091.7,1116.7,2535.8,1188.6,1613.7,599.9,129.3,536.7,421.966666666667,582.3,908.3,485.6,658.733333333333,0.0
PA2623,2764.6,2873.2,3132.6,2923.46666666667,2338.5,1559.6,1721.2,1873.1,3040.4,3107.5,2978.9,3042.26666666667,2489.4,2915.3,2596.2,2666.96666666667,2704.0,1585.0,1907.5,2065.5,1512.2,1804.6,1920.8,1745.86666666667,1478.2,1570.7,1611.8,1553.56666666667,2228.0,2749.6,2571.4,2516.33333333333,2428.0,406.6,2407.5,1747.36666666667,2505.7,2456.8,2290.7,2417.73333333333,56.24223553136641
PA5171,632.9,603.9,515.2,584.0,652.8,1641.3,1742.3,1345.46666666667,1005.0,860.0,555.6,806.866666666667,1605.5,1514.0,620.5,1246.66666666667,528.4,1254.4,1229.6,1004.13333333333,1219.1,1694.5,1600.6,1504.73333333333,1646.4,1751.9,1550.6,1649.63333333333,662.7,899.2,649.8,737.233333333333,1258.9,235.1,1324.0,939.333333333333,1183.8,1182.3,944.8,1103.63333333333,0.0
PA1585,1775.1,1637.0,1640.1,1684.06666666667,1863.1,921.0,958.5,1247.53333333333,2196.1,2469.1,1559.4,2074.86666666667,2562.3,2986.3,1796.3,2448.3,1667.0,881.1,912.4,1153.5,822.6,897.6,985.7,901.966666666667,839.7,829.5,846.8,838.666666666667,1904.0,492.2,2062.4,1486.2,2760.7,368.9,2910.5,2013.36666666667,2760.1,2526.7,2668.9,2651.9,0.0
PA1588,2758.1,2665.2,2830.4,2751.23333333333,2921.2,2392.7,2955.3,2756.4,3100.6,2403.6,2714.7,2739.63333333333,2610.8,2845.9,2227.7,2561.46666666667,2820.5,2400.0,2519.5,2580.0,2433.9,2510.0,2410.1,2451.33333333333,2559.7,2667.3,2538.6,2588.53333333333,2603.9,2548.7,2695.4,2616.0,2776.3,394.6,2538.1,1903.0,2775.5,2456.9,2399.1,2543.83333333333,9.04991916840629
PA2445,1526.1,1411.9,1650.4,1529.46666666667,1183.6,1086.6,931.8,1067.33333333333,1416.6,1663.1,2186.4,1755.36666666667,1300.7,1453.4,1737.4,1497.16666666667,1534.7,1448.4,1317.9,1433.66666666667,1420.2,806.3,890.4,1038.96666666667,997.6,983.0,1065.6,1015.4,1261.4,2869.0,1137.7,1756.03333333333,1870.2,275.2,1811.8,1319.06666666667,1915.7,1757.1,1785.8,1819.53333333333,6.5607514187273015
PA5016,2185.0,2500.8,2480.4,2388.73333333333,2419.2,1522.4,1901.8,1947.8,2663.4,2363.6,2316.4,2447.8,2751.1,2552.0,2276.0,2526.36666666667,2215.4,1470.5,1510.8,1732.23333333333,1531.1,1511.6,1462.1,1501.6,1413.7,1410.3,1516.9,1446.96666666667,2200.3,443.2,3165.6,1936.36666666667,2373.4,356.8,2324.6,1684.93333333333,2246.4,2284.7,2351.0,2294.03333333333,44.412831289428325
